,Hep_D1_1,Hep_D1_2,Hep_D1_3,SW1116_D1_1,SW1116_D1_2,SW1116_D1_3,SW48_D1_1,SW48_D1_2,SW48_D1_3
ENSG00000073146.17,0.061351,0.217188,0.215174,0.035215,0.032307,0.485177,0.069106,0.209513,0
ENSG00000073150.14,7.902714,8.384751,8.995984,6.194528,6.837233,6.231171,22.489201,21.972931,21.811524
ENSG00000073169.15,23.106603,19.724749,22.607811,16.422964,15.470103,16.494245,30.072127,28.359112,30.913749
ENSG00000073282.14,0.011473,0.024125,0.061199,0.011535,0,0,0.013596,0,0
ENSG00000073331.18,1.418778,1.075452,1.016011,2.670164,3.144815,4.606944,3.372145,3.260889,3.461372
ENSG00000073350.14,12.111229,9.774702,10.910215,72.906367,78.159501,66.134485,57.332394,56.688966,54.630606
ENSG00000073417.15,10.943516,11.104067,10.036305,11.898829,12.047265,12.055095,13.905349,17.5158,15.018088
ENSG00000073464.13,1.637456,1.623157,1.767007,2.086596,2.386006,2.34322,0.101582,0.241984,0.257647
ENSG00000073536.18,10.94537,8.793939,12.16934,14.820806,18.954321,20.161881,25.077369,22.148185,26.258375
ENSG00000073578.18,131.972423,129.149924,138.750573,81.702269,88.171878,88.986809,161.512183,165.987755,162.326791
ENSG00000073584.20,46.392705,49.688472,50.709204,95.830136,92.658538,100.694068,93.954139,94.634302,92.026252
ENSG00000073598.6,0,0,0,0,0,0,0.118021,0.129235,0.24932
ENSG00000073605.19,6.557996,8.212634,5.574192,22.716588,26.693384,23.277183,6.145091,5.832048,5.728364
ENSG00000073614.13,15.860125,14.135418,15.14247,17.140771,29.57851,27.768242,22.535572,19.461986,26.762232
ENSG00000073670.14,0.040707,0.013455,0.10988,0.540099,0.623854,0.671009,1.880544,2.906083,3.539467
ENSG00000073711.11,1.155649,1.152831,1.312631,0.650712,0.637256,0.351468,1.060941,1.081055,1.548462
ENSG00000073712.15,64.831979,68.81018,61.332141,4.750727,5.472647,4.489874,0.687094,1.518892,0.826483
ENSG00000073734.10,0.905136,0.88884,0.848805,0.135954,0.436408,0.123252,0.634357,0.556468,0.522142
ENSG00000073737.17,18.125506,19.093273,19.29421,1.93597,1.181288,1.078517,0.15026,0,0.097528
ENSG00000073754.6,0,0,0,0,0,0,0.255553,0,0
ENSG00000073756.13,0,0,0,0.503454,1.162788,0.548792,0,0,0.041303
ENSG00000073792.16,1.079954,0.650844,0.521184,19.644497,26.140628,26.208653,16.40417,12.965338,18.399563
ENSG00000073803.14,35.963274,39.88326,30.435874,57.303694,69.344486,57.349267,25.487591,27.910279,27.83662
ENSG00000073849.16,12.851805,13.064434,11.693969,1.884647,2.309739,2.264794,0.08145,0.145916,0.105731
ENSG00000073861.3,0,0,0,0,0.024355,0,0,0,0
ENSG00000073905.8,0,0,0,0,0,0,0,0,0
ENSG00000073910.23,13.078944,17.434207,14.936807,0.145687,0,0,0.132195,0.253306,0.717917
ENSG00000073921.18,97.200017,104.207684,97.97733,75.444312,97.301312,87.328074,51.54335,62.475252,59.558988
ENSG00000073969.19,12.386889,11.655229,9.965827,12.714246,13.796855,13.351598,34.030433,36.147116,32.809968
ENSG00000074047.22,0,0.015611,0,0.600598,0.469149,1.355756,2.433189,3.110662,3.230077
ENSG00000074054.21,6.96615,5.675264,5.216652,5.077818,7.602607,6.402761,14.696595,18.528658,17.543162
ENSG00000074071.15,121.511933,104.441707,121.072298,151.283215,135.247292,156.863047,113.239503,115.244474,98.998977
ENSG00000074181.9,0.109575,0.029617,0,0.633607,1.216473,1.405655,2.88225,4.545094,6.126224
ENSG00000074201.9,126.316438,125.812899,118.452112,198.639426,223.14049,208.205553,126.062386,106.983136,118.096159
ENSG00000074211.14,0,0.16702,0.038543,0.186083,0.221504,0.138175,0,0.01581,0.015258
ENSG00000074219.14,4.103211,3.225587,3.189769,1.816576,2.051523,1.387269,0,0,0.026867
ENSG00000074266.23,30.667447,32.320203,28.284228,43.340597,41.947289,41.99521,28.891227,29.785517,30.457615
ENSG00000074276.11,8.778099,7.46722,7.196669,9.855984,9.329468,9.181361,1.270113,2.99562,3.193494
ENSG00000074317.11,0,0,0,0.52918,0.310471,0.644564,0,0,0
ENSG00000074319.13,99.451632,107.26663,102.887858,71.350804,83.974447,86.64637,42.320863,37.548408,41.766054
ENSG00000074356.17,18.253786,19.913408,18.55191,27.841851,26.523302,24.627973,49.080846,38.30503,46.849454
ENSG00000074370.18,0.224114,0,0.013868,2.212968,2.849528,2.991101,1.89729,2.269367,1.59696
ENSG00000074410.14,6.768791,7.667654,6.362056,8.882172,12.447859,10.691202,0.010282,0,0
ENSG00000074416.16,37.432774,34.094517,36.531676,9.379664,12.64814,10.955736,3.432321,3.810996,2.866822
