,Hep_D1_1,Hep_D1_2,Hep_D1_3,SW1116_D1_1,SW1116_D1_2,SW1116_D1_3,SW48_D1_1,SW48_D1_2,SW48_D1_3
ENSG00000166473.19,11,6,8,18.991,20.012,17.001,4,9.923,5.008
ENSG00000166477.13,1479,1619,1521.681,1148,975,1140.005,648.001,710,684
ENSG00000166478.10,570.001,591.001,533.237,340,378,352,264.001,295.999,296.001
ENSG00000166479.10,724.001,927.999,707,439.999,487.001,499,883.289,1154.001,1088.069
ENSG00000166482.12,3,2,3,3,1,3,3,5,2
ENSG00000166483.12,2640.988,2975.576,2541,685,782.004,719,1094.005,1163.277,1178.06
ENSG00000166484.20,145.001,123,152,320,321,322,247,233,191
ENSG00000166492.9,2,0,0,6.073,1,1,0,1,0
ENSG00000166501.14,0,0,0,0,0,1,0,0,0
ENSG00000166503.9,10.002,8.001,3.003,3.928,2.737,2,7.031,12.003,9.041
ENSG00000166507.19,309.671,235.88,253.524,120.11,148.57,156.99,462.099,493.045,594.121
ENSG00000166508.19,647.643,577.002,638.599,4606.566,5430.905,5824.63,5538.62,5578.075,5563.937
ENSG00000166509.12,1,0,2,0,0,2,0,0,0
ENSG00000166510.14,186.999,193,186,147,184,154,108.999,129,96
ENSG00000166523.8,0,1,0,0,1,0,0,0,0
ENSG00000166526.19,588.939,600.99,572.025,647,766.008,711.656,981.274,1150.527,1147.538
ENSG00000166527.8,0,0,0,0,0,0,0,0,0
ENSG00000166529.16,419.105,354.012,357.979,219,202,251.001,312.727,259.476,211.465
ENSG00000166530.8,0,0,0,0,0,0,0,0,0
ENSG00000166532.16,155.001,161,140,578.001,676.999,581.999,10,4,9
ENSG00000166535.20,0,0,0,13.003,34,37,25,33.002,35.009
ENSG00000166546.15,6,9,1,2,0,3,34.732,53,47
ENSG00000166548.17,573.015,574.892,567.971,47.999,56,76,625.3,551.453,599.562
ENSG00000166557.14,616,601,622,2229,2105.087,2250.014,1388.397,1298.439,1475.548
ENSG00000166558.11,0,0,1,0,0,0,1,0,0
ENSG00000166562.9,963.001,1037.871,965.999,271.999,221.017,237.001,619,619,690.079
ENSG00000166569.8,2,2,0,2,0,1,0,4,4
ENSG00000166573.6,0,0,0,0,0,0,2,1,1.001
ENSG00000166575.17,37,52.999,39,34,32.999,51,326,359.012,432
ENSG00000166578.10,24,19,21,49,57,62.999,18,16,17
ENSG00000166579.16,756,789.001,651.001,583.166,751.999,644,832,891.997,918.513
ENSG00000166582.11,749.996,728.999,740.956,901.018,1012.891,972.999,607.913,487.949,561.194
ENSG00000166589.13,5,0,0,3,1,5,0,0,0
ENSG00000166592.13,3115.072,2967,3294,130,94,105,22,19,15
ENSG00000166595.12,2741,2531.999,2783.427,1158,932,1143,925,782.903,836.745
ENSG00000166596.15,3,1,1,5,1,3,2,4,3
ENSG00000166598.16,6070.957,6319.713,5922.958,14397.111,15533.213,15963.142,18880.375,19588.525,19056.44
ENSG00000166603.5,0,0,0,0,0,0,0,0,0
ENSG00000166619.15,2353.827,2380.561,2351,2721.63,2685,2965.586,3222.428,3234.905,3239.086
ENSG00000166634.7,0,0,0,0,4,0,0,4,0
ENSG00000166664.15,2.921,1.277,0,0,2,3.319,64.712,67.023,79.315
ENSG00000166669.14,321.157,341,403,137,89,108.162,89,105.999,118.999
ENSG00000166670.10,648,651,685,3,13,12,0,0,1
ENSG00000166676.17,8.174,10.164,9.119,13.198,9.394,4.014,18.249,16.104,26.444
ENSG00000166681.14,965,1009,958.968,1570.067,1421,1634,1,0,0
ENSG00000166682.13,5,4,8,50,40,45,21,27,8
ENSG00000166685.13,817.492,771.754,888.126,887.87,822.307,818.072,844.085,840.862,923.254
ENSG00000166689.18,173.526,170.016,206.986,402.898,492.803,456.996,584.932,568.811,644.97
ENSG00000166693.7,0,0,0,0,0,0,0,0,0
ENSG00000166704.13,172.303,166.778,162.266,1,2.034,0,4.214,4.155,7.823
ENSG00000166707.12,0,0,2,5,5,4,0,0,0
ENSG00000166710.23,36745.845,38344.096,35363.375,19192,19050.129,20379.825,2808.988,2601.557,2763
ENSG00000166716.10,726,655,691.001,1191,1400.001,1376,929.178,874,904
ENSG00000166734.20,713,837.003,700.071,854.015,950.003,883,1908.201,1975.372,2008.128
ENSG00000166736.12,1,1,3,2,3,1,0,0,0
ENSG00000166741.8,1770.084,1758.999,1692.018,11,5,8,0,0,0
ENSG00000166743.10,5,2,1,0,0,2,0,0,1
ENSG00000166747.13,2751.07,2942.158,2723.755,1157,1461.363,1381.001,2726.234,2929.277,2979.002
ENSG00000166750.10,1768.409,1997.007,1814.155,1990.315,2229.103,2225.151,191.004,264.013,254.127
