pathway,pval,padj,log2err,ES,NES,size,leadingEdge
REACTOME_G2_M_CHECKPOINTS,4.33103184242521e-17,4.39402866922412e-15,1.06720998682811,0.638816261440988,2.5544199832676,141,CDC45|PKMYT1|CDK1|EXO1|GTSE1|MCM2|MCM5|RMI2|CCNB2|CLSPN|CCNA2|ORC1|MCM10|MCM3|CDC25A|BLM|CDC6|NSD2|CCNB1|CHEK1|BRIP1|ORC6|H2AX|MCM7|CDC7|RHNO1|MCM4|RFC5|BARD1|CDC25C|TOPBP1|BRCA1|RFC3|MCM6|MCM8|RFC2|RFC4|DNA2|CDK2|DBF4|TP53BP1|TP53|MDC1|MRE11|RBBP8
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION,1.12603234482331e-16,1.04721008068568e-14,1.04762648849882,0.653633398963507,2.5453816308017,123,CDK1|CDCA5|BIRC5|CENPF|KIF2C|BUB1B|NDC80|CENPM|AURKB|CDCA8|CCNB2|CDC20|NUF2|BUB1|TUBB3|PLK1|SPC25|ZWINT|ERCC6L|CENPE|CENPI|CENPA|CCNB1|SKA1|SPC24|CENPK|KIF18A|SGO1|MAD2L1|CENPP|NDE1|RCC2|INCENP|CENPU|CENPO|TUBA1A|KNL1|KNTC1|CKAP5|NUP160|DSN1|FIRRM|SGO2|CENPH|CENPS|NUP107|SMC1A|ZWILCH|ITGB3BP|PPP2R5C|CENPN|CENPL|MAD1L1|SKA2|TUBB2B|KIF2A|PPP1CC|NUP43|XPO1
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS,6.60551812560554e-15,5.67058325244291e-13,0.996986217533181,0.57831836425155,2.38525075290661,174,CDCA5|BIRC5|CENPF|ESPL1|KIF2C|BUB1B|NDC80|CENPM|AURKB|CDCA8|UBE2C|CDC20|NUF2|BUB1|TUBB3|PLK1|SPC25|ZWINT|ERCC6L|CENPE|CENPI|CENPA|SKA1|SPC24|CENPK|KIF18A|SGO1|MAD2L1|CENPP|NDE1|RCC2|INCENP|CENPU|CENPO|TUBA1A|KNL1|KNTC1|CKAP5|UBE2S|NUP160|DSN1|SGO2|PTTG1|CENPH|CENPS|NUP107|SMC1A|ZWILCH|ITGB3BP|PPP2R5C|CENPN|CENPL|MAD1L1|SKA2|TUBB2B|KIF2A|PPP1CC|NUP43|XPO1
REACTOME_DNA_REPAIR,1.67167660298497e-14,1.3325650635223e-12,0.97599468306432,0.481365863926587,2.12207083685306,313,DTL|EXO1|FANCI|RMI2|FANCG|XRCC2|CLSPN|EME1|CCNA2|PCLAF|XRCC3|POLQ|FANCD2|BLM|FANCB|NSD2|RAD51|TIMELESS|NEIL3|CHEK1|RAD51AP1|BRIP1|BRCA2|H2AX|LIG1|RHNO1|MSH2|RFC5|BARD1|TOPBP1|UBE2T|POLE2|BRCA1|POLD1|POLD3|RAD51D|RFC3|RFC2|RFC4|ACD|DCLRE1C|DNA2|POLE|FIRRM|CDK2|FEN1|FANCE|PRKDC|FANCA|H2AZ2|PAXIP1|TP53BP1|PMS2|RTEL1|FANCL|TP53|RIF1|MDC1|USP1|CENPS|RAD18|MRE11|MSH6|RBBP8|BAZ1B|UNG|ERCC3|NFRKB|PCNA|DCLRE1B|RAD9A|ACTR5|CHEK2|LIG3|H2BC9|XRCC1|ISY1|H2BC26|ACTL6A|FANCM|MSH3|RAD51C|POLN|SPIDR|GEN1|POLD2|RPA3
REACTOME_DNA_REPLICATION,2.05934047694486e-14,1.53214931484698e-12,0.97599468306432,0.586080187366249,2.38903993305436,161,CDC45|CDT1|MCM2|MCM5|UBE2C|CCNA2|ORC1|MCM10|MCM3|GINS2|CDC6|CCNE1|ORC6|H2AX|MCM7|LIG1|CDC7|MCM4|RFC5|POLA2|GINS1|POLE2|POLD1|POLD3|RFC3|GINS4|MCM6|MCM8|RFC2|RFC4|PRIM1|GINS3|POLA1|DNA2|UBE2S|POLE|CCNE2|CDK2|FEN1|DBF4|H2AZ2|PRIM2|TWNK
REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS,8.03176169716762e-14,5.60215378377441e-12,0.954541630725724,-0.684986760769493,-2.60865574314034,95,CES1|FMO3|ADH6|CYP2C8|CYP2A6|CYP2C18|NR1H4|ADH4|CYP3A4|CYP21A2|ADH1A|CYP8B1|ADH1B|ADH1C|CYP2A7|CYP2C19|CYP2C9|CYP7B1|AADAC|CYP1A2|CYP4A11|ADH5|CYP4A22|FMO1|CYP2R1|CYP3A43|CYB5R3|CYP3A5|ALDH1B1|CYP4F11|POMC|CYP4F2|CYP3A7|CYP39A1|ARNT|CYP4V2|CYP4F3|CYP2J2|MTARC2|CYP4F22|CYP7A1|FDX1|CYP1A1|NQO2|EPHX1|PAOX|CYP2U1|CYP2E1|MAOB|CYP51A1|ACSS2|CYP11A1|NCOA2|CYP4F12
REACTOME_DRUG_ADME,8.57187094464659e-14,5.62718116130918e-12,0.954541630725724,-0.671882080957894,-2.5843890630096,99,ALB|HSD11B1|CES1|SLC22A1|UGT2B4|UGT2B7|GSTA1|SULT2A1|GSTA2|UGT2B10|ACSM5|CYP2C8|UGT2B15|CYP3A4|UGT2A3|GSTM1|ADH1A|UGT3A1|SLC22A7|UGT2B11|ACSM2B|PON1|CYP2C19|CYP2C9|ACSM2A|SERPINA6|GLYAT|AKR1C1|SULT1E1|GLYATL1|CNDP2|UGT2B17|NAT2|SLC29A3|TPMT|ACY1|SLCO1B1|XDH|PCK1
REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE,9.95782124958104e-14,6.17384917474024e-12,0.954541630725724,-0.727723734786839,-2.64658572785158,72,ALB|APOC3|APOC2|APOA4|APOB|APOA5|APOA2|A2M|APOC1|APOA1|MTTP|APOF|LIPC|ANGPTL3|ANGPTL8|ANGPTL4|APOC4|LIPA|SAR1B|FGF21|APOE|LIPG|ABCA1|LPA|CREB3L3
REACTOME_DNA_STRAND_ELONGATION,4.83430704455376e-13,2.83951929564316e-11,0.921426003494898,0.844353922125391,2.5685047642203,32,CDC45|MCM2|MCM5|MCM3|GINS2|MCM7|LIG1|MCM4|RFC5|POLA2|GINS1|POLD1|POLD3|RFC3|GINS4|MCM6|MCM8|RFC2|RFC4|PRIM1|GINS3|POLA1|DNA2|FEN1|PRIM2
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,6.18647947050469e-13,3.45205554454161e-11,0.921426003494898,-0.658954800269803,-2.55050901187213,104,ALB|PLG|FGA|KNG1|F2|FGG|SERPINC1|CP|SDC2|F5|APOB|APOA5|SPP2|APOA2|CDH2|ITIH2|TF|APOA1|SERPIND1|AHSG|AFP|FSTL1|FAM20A|C4A|ENAM|FSTL3|SERPINA10|SPP1|IGFALS|PROC|IGFBP2|CCN1|VCAN|IGFBP1|APOE
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,8.55648976443495e-13,4.34047389868609e-11,0.921426003494898,0.817385841195459,2.57309302275589,37,CDC45|MCM2|MCM5|CLSPN|ORC1|MCM10|MCM3|CDC25A|CDC6|CHEK1|ORC6|MCM7|CDC7|MCM4|RFC5|CDC25C|RFC3|MCM6|MCM8|RFC2|RFC4|CDK2|DBF4
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,8.17618196613178e-13,4.34047389868609e-11,0.921426003494898,0.838620063782929,2.55649916061726,33,CDC45|CDT1|MCM2|MCM5|ORC1|MCM10|MCM3|CDC6|ORC6|MCM7|CDC7|MCM4|POLA2|POLE2|MCM6|MCM8|PRIM1|POLA1|POLE|CDK2|DBF4|PRIM2
