                     Package                Version     
sys                  "sys"                  "3.4.3"     
systemfonts          "systemfonts"          "1.3.1"     
tensor               "tensor"               "1.5.1"     
tibble               "tibble"               "3.3.1"     
tidygraph            "tidygraph"            "1.3.1"     
tidyr                "tidyr"                "1.3.2"     
tidyselect           "tidyselect"           "1.2.1"     
tinytex              "tinytex"              "0.58"      
tweenr               "tweenr"               "2.0.3"     
tximport             "tximport"             "1.22.0"    
tzdb                 "tzdb"                 "0.5.0"     
utf8                 "utf8"                 "1.2.6"     
uwot                 "uwot"                 "0.2.4"     
vctrs                "vctrs"                "0.7.1"     
vipor                "vipor"                "0.4.7"     
viridis              "viridis"              "0.6.5"     
viridisLite          "viridisLite"          "0.4.3"     
vroom                "vroom"                "1.7.0"     
vsn                  "vsn"                  "3.62.0"    
withr                "withr"                "3.0.2"     
xfun                 "xfun"                 "0.56"      
XML                  "XML"                  "3.99-0.22" 
xtable               "xtable"               "1.8-8"     
XVector              "XVector"              "0.34.0"    
yaml                 "yaml"                 "2.3.12"    
zlibbioc             "zlibbioc"             "1.40.0"    
zoo                  "zoo"                  "1.8-15"    
base                 "base"                 "4.1.2"     
boot                 "boot"                 "1.3-28"    
class                "class"                "7.3-20"    
cluster              "cluster"              "2.1.2"     
codetools            "codetools"            "0.2-18"    
compiler             "compiler"             "4.1.2"     
datasets             "datasets"             "4.1.2"     
foreign              "foreign"              "0.8-82"    
graphics             "graphics"             "4.1.2"     
grDevices            "grDevices"            "4.1.2"     
grid                 "grid"                 "4.1.2"     
KernSmooth           "KernSmooth"           "2.23-20"   
lattice              "lattice"              "0.20-45"   
MASS                 "MASS"                 "7.3-55"    
Matrix               "Matrix"               "1.4-0"     
methods              "methods"              "4.1.2"     
mgcv                 "mgcv"                 "1.8-39"    
nlme                 "nlme"                 "3.1-155"   
nnet                 "nnet"                 "7.3-17"    
parallel             "parallel"             "4.1.2"     
rpart                "rpart"                "4.1.16"    
spatial              "spatial"              "7.3-15"    
splines              "splines"              "4.1.2"     
stats                "stats"                "4.1.2"     
stats4               "stats4"               "4.1.2"     
survival             "survival"             "3.2-13"    
tcltk                "tcltk"                "4.1.2"     
tools                "tools"                "4.1.2"     
utils                "utils"                "4.1.2"     
